ds,y
2020-01-27 19:20:00,3.7013333333333334
2020-01-27 19:25:00,4.4206666666666665
2020-01-27 19:30:00,3.2562499999999996
2020-01-27 19:35:00,3.106
2020-01-27 19:40:00,3.1166666666666663
2020-01-27 19:45:00,3.038125
2020-01-27 19:50:00,3.1820000000000004
2020-01-27 19:55:00,3.1120000000000005
2020-01-27 20:00:00,8.851875
2020-01-27 20:05:00,6.924666666666667
2020-01-27 20:10:00,6.047333333333333
2020-01-27 20:15:00,5.790666666666667
2020-01-27 20:20:00,3.7212500000000004
2020-01-27 20:25:00,3.0660000000000007
2020-01-27 20:30:00,3.406666666666667
2020-01-27 20:35:00,3.0374999999999996
2020-01-27 20:40:00,3.0660000000000003
2020-01-27 20:45:00,3.0626666666666664
2020-01-27 20:50:00,3.0487499999999996
2020-01-27 20:55:00,3.072
2020-01-27 21:00:00,8.468666666666667
2020-01-27 21:05:00,6.834375
2020-01-27 21:10:00,6.278666666666665
2020-01-27 21:15:00,5.656666666666666
2020-01-27 21:20:00,3.698666666666667
2020-01-27 21:25:00,3.8131250000000003
2020-01-27 21:30:00,3.1559999999999997
2020-01-27 21:35:00,3.0480000000000005
2020-01-27 21:40:00,3.09875
2020-01-27 21:45:00,3.106
2020-01-27 21:50:00,3.0799999999999996
2020-01-27 21:55:00,3.1456250000000003
2020-01-27 22:00:00,9.555333333333332
2020-01-27 22:05:00,6.993333333333334
2020-01-27 22:10:00,6.467499999999999
2020-01-27 22:15:00,5.597333333333335
2020-01-27 22:20:00,3.6586666666666665
2020-01-27 22:25:00,3.1180000000000003
2020-01-27 22:30:00,3.525
2020-01-27 22:35:00,3.195333333333333
2020-01-27 22:40:00,3.072666666666667
2020-01-27 22:45:00,3.04875
2020-01-27 22:50:00,3.0846666666666667
2020-01-27 22:55:00,3.1493333333333338
2020-01-27 23:00:00,8.725000000000001
2020-01-27 23:05:00,7.54
2020-01-27 23:10:00,7.406666666666666
2020-01-27 23:15:00,5.854375000000001
2020-01-27 23:20:00,4.220666666666666
2020-01-27 23:25:00,3.8160000000000007
2020-01-27 23:30:00,3.8937500000000007
2020-01-27 23:35:00,5.018
2020-01-27 23:40:00,5.513333333333334
2020-01-27 23:45:00,5.943124999999999
2020-01-27 23:50:00,4.287333333333334
2020-01-27 23:55:00,5.005333333333332
2020-01-28 00:00:00,9.751249999999999
2020-01-28 00:05:00,6.895333333333335
2020-01-28 00:10:00,7.101333333333333
2020-01-28 00:15:00,7.157333333333333
2020-01-28 00:20:00,5.68375
2020-01-28 00:25:00,4.037333333333334
2020-01-28 00:30:00,3.7793333333333328
2020-01-28 00:35:00,3.3312500000000003
2020-01-28 00:40:00,5.085999999999999
2020-01-28 00:45:00,3.4633333333333325
2020-01-28 00:50:00,3.784375
2020-01-28 00:55:00,4.1193333333333335
2020-01-28 01:00:00,9.590000000000002
2020-01-28 01:05:00,7.623749999999999
2020-01-28 01:10:00,7.300666666666669
2020-01-28 01:15:00,5.804666666666667
2020-01-28 01:20:00,3.7693333333333334
2020-01-28 01:25:00,3.605
2020-01-28 01:30:00,3.5866666666666664
2020-01-28 01:35:00,3.036666666666667
2020-01-28 01:40:00,3.0549999999999997
2020-01-28 01:45:00,3.050666666666666
2020-01-28 01:50:00,3.1940000000000004
2020-01-28 01:55:00,3.0818749999999997
